PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29662147","A methanotrophic archaeon couples anaerobic oxidation of methane to Fe(III) reduction","Cai C, Leu AO, Xie GJ, Guo J, Feng Y, Zhao JX, Tyson GW, Yuan Z, Hu S.","ISME J. 2018 Aug;12(8):1929-1939. doi: 10.1038/s41396-018-0109-x. Epub 2018 Apr 16.","Cai C","ISME J","2018","2018/04/18","PMC6052012","","10.1038/s41396-018-0109-x"
"32208240","Extracellular electron transfer in fermentative bacterium Anoxybacter fermentans DY22613(T) isolated from deep-sea hydrothermal sulfides","Li X, Zeng X, Qiu D, Zhang Z, Zhang X, Shao Z.","Sci Total Environ. 2020 Jun 20;722:137723. doi: 10.1016/j.scitotenv.2020.137723. Epub 2020 Mar 6.","Li X","Sci Total Environ","2020","2020/03/26","","","10.1016/j.scitotenv.2020.137723"
